HACIENDA;PLUV;Fecha;Precipitaci?n (mm);;;
Peralonso Los Chivos;405;15/01/2020;0;;;
Normandia;406;15/01/2020;0;;;
Normandia - Duran;407;15/01/2020;0;;;
Normandia;408;15/01/2020;0;;;
Normandia - Estacion Drenaje;409;15/01/2020;0;;;
Morillo ;502;16/01/2020;0;;;
La Luisa 2;207;16/01/2020;0;;;
La Luisa 2;208;16/01/2020;0;;;
La Luisa 2;209;16/01/2020;0;;;
La Luisa 2;210;16/01/2020;0;;;
Zambrano;213;16/01/2020;0;;;
San Carlos;700;16/01/2020;0;;;
La Luisa 1;211;16/01/2020;0;;;
La Luisa 1;212;16/01/2020;0;;;
Lagunas ;214;16/01/2020;0;;;
Lagunas ;215;16/01/2020;0;;;
Paila Arriba;303;16/01/2020;0;;;
Riopaila La Ranchera;304;16/01/2020;0;;;
Riopaila La Pista;305;16/01/2020;0;;;
Riopaila Agricola;417;16/01/2020;0;;;
Mangos;701;16/01/2020;0;;;
Pluviometro Riopaila Agricola ;306;16/01/2020;0;;;
Venecia 1;401;16/01/2020;0;;;
Venecia 2;402;16/01/2020;0;;;
Tequendama ;412;16/01/2020;0;;;
Ukrania Venecia;414;16/01/2020;0;;;
Gertrudis ;503;16/01/2020;0;;;
Gertrudis - Porteria La Gertrudis;504;16/01/2020;0;;;
San Nicolas;505;16/01/2020;0;;;
San Nicolas;506;16/01/2020;0;;;
Valparaiso ;307;16/01/2020;0;;;
Valparaiso ;308;16/01/2020;0;;;
Ukrania Morillo;501;16/01/2020;0;;;
Peralonso El Mateo;403;16/01/2020;0;;;
Peralonso ;404;16/01/2020;0;;;
1/2 Luna Caseta Caida ;411;16/01/2020;0;;;
Peralonso Los Chivos;405;16/01/2020;0;;;
Normandia;406;16/01/2020;0;;;
Normandia - Duran;407;16/01/2020;0;;;
Normandia;408;16/01/2020;0;;;
Normandia - Estacion Drenaje;409;16/01/2020;0;;;
Morillo ;502;17/01/2020;0;;;
La Luisa 2;207;17/01/2020;0;;;
La Luisa 2;208;17/01/2020;0;;;
La Luisa 2;209;17/01/2020;0;;;
La Luisa 2;210;17/01/2020;0;;;
Zambrano;213;17/01/2020;0;;;
San Carlos;700;17/01/2020;0;;;
La Luisa 1;211;17/01/2020;0;;;
La Luisa 1;212;17/01/2020;0;;;
Lagunas ;214;17/01/2020;0;;;
Lagunas ;215;17/01/2020;0;;;
Paila Arriba;303;17/01/2020;0;;;
Riopaila La Ranchera;304;17/01/2020;0;;;
Riopaila La Pista;305;17/01/2020;0;;;
Riopaila Agricola;417;17/01/2020;0;;;
Mangos;701;17/01/2020;0;;;
Pluviometro Riopaila Agricola ;306;17/01/2020;0;;;
Venecia 1;401;17/01/2020;0;;;
